projection_id,player_id,game_id,team,stat_type,line_score,start_time,updated_at,status,odds_type,is_live,is_promo
5213647,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,8.0,2025-06-03T21:30:00-04:00,2025-06-03T19:39:30-04:00,pre_game,standard,False,False
5213649,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,17.0,2025-06-03T21:30:00-04:00,2025-06-03T19:39:15-04:00,pre_game,standard,False,False
5213651,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,4.0,2025-06-03T21:30:00-04:00,2025-06-03T19:39:30-04:00,pre_game,standard,False,False
5213653,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,8.5,2025-06-03T21:30:00-04:00,2025-06-03T16:50:15-04:00,pre_game,standard,False,False
5213616,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,4.5,2025-06-03T21:30:00-04:00,2025-06-03T16:31:53-04:00,pre_game,standard,False,False
5213615,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,4.0,2025-06-03T21:30:00-04:00,2025-06-03T16:31:53-04:00,pre_game,standard,False,False
5213614,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,5.0,2025-06-03T21:30:00-04:00,2025-06-03T16:39:46-04:00,pre_game,standard,False,False
5210334,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points (Combo),36.5,2025-06-03T21:30:00-04:00,2025-06-03T09:51:56-04:00,pre_game,standard,False,False
5210336,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists (Combo),12.0,2025-06-03T21:30:00-04:00,2025-06-03T11:41:53-04:00,pre_game,standard,False,False
5209143,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Total Bases,0.5,2025-06-03T21:40:00-04:00,2025-06-03T01:33:07-04:00,pre_game,goblin,False,False
5209138,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,RBIs,1.5,2025-06-03T21:40:00-04:00,2025-06-03T01:31:29-04:00,pre_game,demon,False,False
5209136,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Hitter Strikeouts,1.5,2025-06-03T21:40:00-04:00,2025-06-03T01:15:31-04:00,pre_game,demon,False,False
5209135,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Hitter Strikeouts,0.5,2025-06-03T21:40:00-04:00,2025-06-03T02:11:26-04:00,pre_game,goblin,False,False
5209140,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Runs,0.5,2025-06-03T21:40:00-04:00,2025-06-03T00:57:35-04:00,pre_game,demon,False,False
5209146,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Total Bases,1.5,2025-06-03T21:40:00-04:00,2025-06-02T23:52:27-04:00,pre_game,demon,False,False
5210627,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Runs,1.5,2025-06-03T21:40:00-04:00,2025-06-03T14:36:22-04:00,pre_game,demon,False,False
5209133,,MLB_game_xj1QmmSAaIGNoOQS9OYZkqgh,,Hits+Runs+RBIs,2.5,2025-06-03T21:40:00-04:00,2025-06-03T05:46:32-04:00,pre_game,demon,False,False
